"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1380","Census Tract 224010","2468","Census Tract 800204","1/1/2018 - 1/31/2018, Every day, Daily Average",2652,1867,3765
"1380","Census Tract 224010","2470","Census Tract 800506","1/1/2018 - 1/31/2018, Every day, Daily Average",1877,1293,2722
"1380","Census Tract 224010","2472","Census Tract 920303","1/1/2018 - 1/31/2018, Every day, Daily Average",2714,2049,3594
"1380","Census Tract 224010","2474","Census Tract 930200","1/1/2018 - 1/31/2018, Every day, Daily Average",2475,1859,3294
"1380","Census Tract 224010","2481","Census Tract 011602","1/1/2018 - 1/31/2018, Every day, Daily Average",2008,1474,2734
"1380","Census Tract 224010","2482","Census Tract 086404","1/1/2018 - 1/31/2018, Every day, Daily Average",2030,1497,2751
"1380","Census Tract 224010","2483","Census Tract 086501","1/1/2018 - 1/31/2018, Every day, Daily Average",1943,1436,2628
"1380","Census Tract 224010","2484","Census Tract 086502","1/1/2018 - 1/31/2018, Every day, Daily Average",1974,1467,2655
"1380","Census Tract 224010","2485","Census Tract 086601","1/1/2018 - 1/31/2018, Every day, Daily Average",1866,1379,2524
"1380","Census Tract 224010","2487","Census Tract 086701","1/1/2018 - 1/31/2018, Every day, Daily Average",1845,1321,2575
"1380","Census Tract 224010","2488","Census Tract 086702","1/1/2018 - 1/31/2018, Every day, Daily Average",2202,1481,3273
"1380","Census Tract 224010","2489","Census Tract 086801","1/1/2018 - 1/31/2018, Every day, Daily Average",1729,1283,2329
"1380","Census Tract 224010","2490","Census Tract 086802","1/1/2018 - 1/31/2018, Every day, Daily Average",1765,1293,2409
"1380","Census Tract 224010","2498","Census Tract 087102","1/1/2018 - 1/31/2018, Every day, Daily Average",1831,1352,2478
"1380","Census Tract 224010","2500","Census Tract 087105","1/1/2018 - 1/31/2018, Every day, Daily Average",1904,1417,2556
"1380","Census Tract 224010","2501","Census Tract 087106","1/1/2018 - 1/31/2018, Every day, Daily Average",1965,1469,2628
"1380","Census Tract 224010","2502","Census Tract 087200","1/1/2018 - 1/31/2018, Every day, Daily Average",2398,1674,3433
"1380","Census Tract 224010","2518","Census Tract 110401","1/1/2018 - 1/31/2018, Every day, Daily Average",1705,1221,2379
